2D-Data set:  transported gossan material (Riotinto, Spain)    
    7
sample
easting   metres
northing  metres
elevation metres
length    metres
gold      g/t
silver    g/t
  521 -1450.0  2450.0 412.4  9.00  0.58   21.17
  143 -1450.0  2475.0 423.8 10.00  2.24   60.38
  533 -1450.0  2500.0 414.0  6.00  2.60  154.75
  330 -1450.0  2525.0 413.2 10.00  2.80   85.95
  329 -1450.0  2550.0 412.7 10.00  2.20  134.98
  331 -1450.0  2575.0 413.1 10.00  1.80   83.95
  614 -1449.2  2198.4 427.4 22.00  1.63   62.05
   65 -1448.7  2351.2 416.1 12.00  1.43   86.58
   19 -1447.8  2499.6 417.8 12.00  2.92   77.00
   39 -1446.3  1901.4 418.4  6.00  0.95   47.67
   24 -1444.6  2579.0 402.2 32.00  1.87   99.09
  449 -1425.0  1925.0 409.7 10.00  0.84   93.55
  117 -1425.0  1950.0 416.9  7.50  1.41   93.63
  437 -1425.0  1975.0 415.0 10.00  1.33   70.49
  440 -1425.0  2000.0 415.1 10.00  1.28   61.55
  425 -1425.0  2025.0 415.2 10.00  1.48   64.05
  459 -1425.0  2050.0 414.6 10.00  1.59   53.53
  455 -1425.0  2075.0 414.6 10.00  1.35   32.30
  458 -1425.0  2100.0 415.2 10.00  2.02   49.50
  456 -1425.0  2125.0 415.3 10.00  2.00  122.43
  457 -1425.0  2150.0 415.8 10.00  1.91  107.22
  653 -1425.0  2175.0 415.6 10.00  1.38  130.38
  654 -1425.0  2200.0 415.6 10.00  1.71   90.25
  655 -1425.0  2225.0 418.0  6.00  2.12  101.25
  713 -1425.0  2250.0 417.9  6.00  1.86   78.88
  454 -1425.0  2350.0 408.2 10.00  0.96   89.12
  406 -1425.0  2375.0 408.0 10.00  1.00   64.68
  398 -1425.0  2400.0 409.4  9.00  0.51   14.92
  404 -1425.0  2425.0 410.9  6.00  0.15   13.25
  527 -1425.0  2450.0 412.7  7.50  0.51   68.00
  520 -1425.0  2475.0 411.5 10.00  0.81   44.05
  531 -1425.0  2500.0 411.6 10.00  0.82  123.50
  507 -1425.0  2525.0 411.7 10.00  2.13   74.95
  333 -1425.0  2550.0 413.3 10.00  1.44  173.28
  332 -1425.0  2575.0 412.7 10.00  1.79  127.97
   83 -1403.0  2501.0 411.6 19.50  1.05   85.83
   80 -1402.0  2318.0 407.4 27.00  1.06   69.51
   54 -1401.9  1952.7 409.0  6.00  1.82   53.17
   48 -1401.4  2350.3 408.1  2.00  1.65   48.00
   25 -1400.1  2449.9 417.7 10.00  0.48   42.40
  451 -1400.0  1925.0 411.5 10.00  1.04   53.65
  366 -1400.0  1950.0 403.0 10.00  1.74   77.50
  384 -1400.0  1975.0 403.0 10.00  1.88   80.93
   86 -1400.0  2000.0 403.6 30.00  2.21   82.96
  103 -1400.0  2025.0 413.7 10.00  1.80   97.13
  104 -1400.0  2050.0 414.9 10.00  1.86   69.74
  105 -1400.0  2075.0 415.1 10.00  1.69  102.50
   78 -1400.0  2100.0 412.3 16.50  1.82  100.01
  356 -1400.0  2325.0 404.5 10.00  1.99  114.03
  355 -1400.0  2350.0 404.6 10.00  0.62   26.50
  388 -1400.0  2400.0 410.4  7.50  0.67   20.90
  138 -1400.0  2425.0 419.9  7.50  1.35   74.40
  534 -1400.0  2450.0 412.9  7.50  0.36   31.10
  524 -1400.0  2475.0 411.9 10.00  1.77  133.01
  523 -1400.0  2500.0 411.8 10.00  1.41  141.15
  508 -1400.0  2525.0 412.0 10.00  1.05  137.00
  532 -1400.0  2550.0 412.3 10.00  1.73   70.15
  522 -1400.0  2575.0 412.8 10.00  1.39  168.25
   31 -1399.6  2549.5 406.7 30.00  1.70   69.93
   26 -1399.2  2049.9 408.6 22.00  1.80   60.32
   53 -1392.0  2146.7 412.2  8.00  2.47  115.69
   47 -1392.0  2251.6 408.6  6.00  2.93  174.83
  550 -1390.0  2125.0 411.0  9.00  1.24   89.75
  551 -1389.0  2150.0 409.2 12.00  1.29  111.31
  552 -1385.0  2175.0 405.6 15.00  1.31   85.15
  448 -1375.0  1925.0 410.4  6.00  1.56   68.00
  362 -1375.0  1950.0 403.5  9.00  0.32   28.67
  363 -1375.0  1975.0 403.1 10.00  0.75   75.18
  376 -1375.0  2000.0 403.8 10.00  1.26  109.50
  370 -1375.0  2025.0 403.7 10.00  0.87   82.65
  375 -1375.0  2050.0 403.5 10.00  1.65  108.55
  382 -1375.0  2075.0 403.7 10.00  1.81  108.07
  383 -1375.0  2100.0 404.2  9.00  0.37   30.50
  111 -1375.0  2125.0 415.2 10.00  0.85   96.81
  444 -1375.0  2200.0 405.5 10.00  0.68   81.21
  443 -1375.0  2225.0 406.3  7.50  2.08   97.10
  441 -1375.0  2250.0 404.6 10.00  1.32   53.67
  442 -1375.0  2275.0 404.3 10.00  0.70   22.15
  434 -1375.0  2300.0 404.4 10.00  0.86   54.33
  338 -1375.0  2325.0 404.4 10.00  1.47   73.35
  341 -1375.0  2350.0 404.2 10.00  0.33   17.86
  394 -1375.0  2375.0 412.1  3.00  0.65   49.00
  395 -1375.0  2400.0 413.9  1.50  0.40   10.00
  313 -1375.0  2425.0 417.1 10.00  0.60   54.75
  538 -1375.0  2450.0 413.2  7.50  0.35   35.94
  537 -1375.0  2475.0 412.9  9.00  0.34   45.50
  506 -1375.0  2500.0 411.8 10.00  1.24  121.55
  498 -1375.0  2525.0 412.0 10.00  0.83   54.85
  536 -1375.0  2550.0 412.3 10.00  0.84   53.45
  535 -1375.0  2575.0 412.5 10.00  1.53  154.25
   85 -1371.0  2561.0 408.3 29.50  1.60   73.31
   36 -1362.5  2587.9 403.2 34.00  1.92   95.55
    6 -1354.3  1895.9 414.8  2.00  1.55   86.00
  244 -1350.0  1900.0 410.2 10.00  1.81  152.68
  309 -1350.0  1925.0 402.7 10.00  1.71  104.88
  348 -1350.0  1950.0 401.1 10.00  1.70   62.58
  345 -1350.0  1975.0 402.9 10.00  2.97  103.15
  392 -1350.0  2000.0 394.7 10.00  1.76   66.00
  389 -1350.0  2050.0 394.5 10.00  2.45   60.45
  335 -1350.0  2075.0 403.7 10.00  1.19  111.08
  336 -1350.0  2100.0 403.6 10.00  1.15  100.70
  446 -1350.0  2125.0 405.9  6.00  0.09    6.50
  447 -1350.0  2150.0 407.6  6.00  0.26    7.88
  452 -1350.0  2175.0 408.7  6.00  0.30   23.88
  453 -1350.0  2200.0 407.1  7.50  0.37   41.20
  445 -1350.0  2225.0 405.5  9.00  0.73   90.33
  431 -1350.0  2250.0 404.4 10.00  0.66   26.58
  432 -1350.0  2275.0 404.5 10.00  0.69   43.50
  433 -1350.0  2300.0 405.8  7.50  0.49   34.70
  340 -1350.0  2325.0 404.7 10.00  2.23   89.30
  339 -1350.0  2350.0 404.1 10.00  1.36   52.40
  397 -1350.0  2375.0 411.6  4.50  0.05    2.33
  129 -1350.0  2400.0 421.0  4.50  1.33   80.83
  158 -1350.0  2425.0 418.6 10.00  0.67   41.28
  160 -1350.0  2450.0 419.2 10.00  0.35   34.70
  161 -1350.0  2475.0 419.3 10.00  0.71   57.06
  163 -1350.0  2500.0 419.0 10.00  0.87   69.88
  505 -1350.0  2525.0 413.7  7.50  0.81   47.20
  539 -1350.0  2550.0 412.4 10.00  1.28  104.25
   23 -1349.8  1999.9 397.7 20.00  1.88   77.70
   32 -1349.1  2397.9 421.3  4.00  1.30  123.25
   27 -1347.7  2100.4 405.5  6.00  1.47  114.33
   29 -1345.3  2200.4 409.9  2.00  0.20    8.00
  239 -1325.0  1900.0 408.2 10.00  1.72  127.35
  391 -1325.0  1925.0 395.4  9.00  1.08   83.67
  386 -1325.0  1950.0 395.0 10.00  1.12  126.38
  385 -1325.0  1975.0 394.8 10.00  2.05  100.40
  387 -1325.0  2000.0 394.6 10.00  1.69   42.38
  358 -1325.0  2025.0 394.2 10.00  1.95   67.88
  369 -1325.0  2050.0 394.9  9.00  3.04   81.00
  371 -1325.0  2075.0 394.8 10.00  2.77   81.93
  368 -1325.0  2100.0 394.7 10.00  1.00   45.53
  367 -1325.0  2125.0 395.5  9.00  0.99   46.67
  343 -1325.0  2325.0 404.9 10.00  1.46   89.93
  344 -1325.0  2350.0 404.2 10.00  2.22   90.43
  396 -1325.0  2375.0 409.4  9.00  1.03   60.08
  400 -1325.0  2400.0 411.0  6.00  0.48   25.25
  157 -1325.0  2425.0 418.4 10.00  1.72  110.69
  168 -1325.0  2450.0 418.6 10.00  1.19   90.09
  165 -1325.0  2475.0 417.7 10.00  1.21   88.88
   55 -1309.5  2324.9 401.3 16.00  1.84   79.88
   51 -1301.2  2150.9 398.9  4.00  1.97  119.00
   96 -1300.0  1800.0 401.6 15.00  2.00  173.95
  284 -1300.0  1900.0 407.4  9.00  1.44   68.00
  308 -1300.0  1925.0 402.0 10.00  1.35  138.95
  306 -1300.0  1950.0 401.6 10.00  2.63  157.81
  512 -1300.0  1975.0 389.9  9.00  1.69   86.42
  560 -1300.0  2000.0 384.5  7.00  0.54   72.75
  517 -1300.0  2025.0 389.7  9.00  1.90   72.83
  511 -1300.0  2050.0 389.4 10.50  2.65   85.00
  518 -1300.0  2075.0 389.0 12.00  2.19   66.12
  529 -1300.0  2100.0 389.7 12.00  1.66   68.69
  422 -1300.0  2150.0 395.8 10.00  1.98  117.40
  426 -1300.0  2350.0 406.0 10.00  1.24   81.58
  401 -1300.0  2375.0 408.6 10.00  2.05   95.28
  399 -1300.0  2400.0 409.0 10.00  1.51  103.97
  164 -1300.0  2425.0 417.8 10.00  1.11   74.60
  169 -1300.0  2450.0 416.3 10.00  1.52   79.55
   52 -1299.9  2049.9 396.0 22.00  2.38   67.91
   33 -1299.7  2449.8 418.4 10.00  1.91   88.50
   44 -1299.1  1949.2 396.7 12.00  1.20   83.17
   84 -1299.0  2399.0 412.7 18.00  1.19   64.10
   66 -1295.8  2375.0 406.7 12.00  1.67   76.92
   68 -1277.0  1970.0 400.5 37.00  2.07   88.33
  381 -1275.0  1925.0 394.9  7.50  0.09    6.00
  496 -1275.0  1950.0 393.6  1.50  1.05   84.50
  236 -1275.0  1975.0 399.7 10.00  1.62   81.97
  558 -1275.0  1975.0 384.7  7.00  2.09   76.36
